Name,placeID,address,location,rating,userRatingTotal
巴甜養生蔬食咖啡簡餐,ChIJ_UP53wCVbjQRad7a3CYbhbw,嘉義市東區大雅路一段858巷39號,"23.4821548,120.4847031",4.3,507
阿吉鱔魚麵,ChIJWQollTaUbjQRvkgEvR3yufQ,嘉義市東區蘭井街113號,"23.4776551,120.452995",4.4,1260
黃毛ㄚ頭東山鴨頭專賣店,ChIJw1ejVjCUbjQRrF7rknTf7AQ,"嘉義市之一, No. 77號, 文化路, 西區","23.4772649,120.449834",4.1,3071
摩斯漢堡 嘉義店,ChIJQySg-y6UbjQRwJcyM6sWTG8,嘉義市西區中山路547號,"23.4793196,120.4437254",4.1,630
五花馬水餃館 嘉義仁愛門市,ChIJH4qKyCOUbjQRLcuSbzPsjxs,嘉義市西區仁愛路143號,"23.4689326,120.4426985",3.8,648
*隱燃燒肉丼食堂*/沒有訂位,ChIJjwkt2DGUbjQRBClWTM9uzD0,"嘉義市No. 488號, 中正路","23.4788024,120.4480197",4.4,1981
嘉義噴水雞肉飯-新民店,ChIJXS2ixiaUbjQR2L3C6qU0JQk,嘉義市西區新民路880號,"23.4724477,120.4397403",3.4,837
四分之一複合式簡餐,ChIJvYNVZ0iUbjQRsct6gCt48RA,嘉義市東區市宅街4-1號,"23.4738456,120.4612654",4,200
慶昇小館,ChIJVx7z_i6UbjQRjVQe_t1ucEo,嘉義市西區新榮路315號,"23.4788856,120.444067",4,1864
一年五季養生坊,ChIJTRMQj02UbjQRkjVsKmo3HsQ,嘉義市東區大雅路二段522號,"23.4779091,120.4698257",4.4,110
超吉飯桶,ChIJqwjy_i6UbjQRPZW8UxwjnmE,嘉義市東區興業東路6號,"23.4686275,120.4489028",3.5,299
爭鮮迴轉壽司-嘉義家樂福店,ChIJW296256WbjQR8Asg1dsonXg,嘉義市西區博愛路二段461號1樓,"23.4713372,120.4317229",3.9,484
月光奇想,ChIJD4MEeSaUbjQR3lFEjNyPHFQ,嘉義市西區廣寧街30號,"23.4745883,120.4413022",4.4,186
大葉鐵板燒,ChIJzW4P6yWUbjQRJutWWv2o6bk,嘉義市西區興業西路40號,"23.46862,120.4449137",4.2,197
歐琳達鄉村料理坊,ChIJsT1s2U6UbjQRpUYOhTvzZSU,嘉義市東區彌陀路238巷76號,"23.4744354,120.4654413",4.3,500
老先覺麻辣窯燒鍋(嘉義民生店),ChIJN4jMlC2UbjQR34nNDhHg8Fw,600台灣嘉義市西區民生北路324號,"23.4824212,120.4460079",4,311
建安羊肉爐,ChIJj-c2diyUbjQR8GKiiQDj8Tk,600台灣嘉義市西區博愛路二段7號,"23.4836334,120.4414989",2.6,38
上上籤吉品涮涮鍋(嘉義總店),ChIJp8BLvxmVbjQR-cJiLAB2g4Y,600台灣嘉義市西區林森西路182號,"23.4842591,120.4483109",4.6,597
燒瓶子。大肆の鍋 嘉義店(最後進場時間凌晨12:30),ChIJxXP-muyVbjQR8rHupNYVkg0,600台灣嘉義市西區民生北路309號,"23.4828138,120.4457411",4.7,5855
豚將拉麵-嘉義店,ChIJVwUM8zKUbjQRVThFFq5VDBM,600台灣嘉義市東區文化路284號,"23.483584,120.4488939",4,527
福星藥頭排骨,ChIJnw6m1uG9bjQRuZQhryA1f7o,621台灣嘉義縣民雄鄉建國路二段415-6號,"23.5543563,120.4338023",3.1,298
徠徠永和豆漿(文化店),ChIJ7Sk37TKUbjQRnCTX9N01eFg,60044台灣嘉義市東區文化路300號,"23.4839677,120.4487774",3.5,481
盧廣烤肉-文化店,ChIJoaMJlDKUbjQRdyiRxs8W6To,600台灣嘉義市東區林森西路176號,"23.484256,120.448426",3.3,276
戰 鬥雞 油雞/醉雞 鮮燙蔬菜 民雄頭橋店不定期公休可來電詢問,ChIJFReuzRGVbjQRUWw7Mz4ZkIU,621台灣嘉義縣民雄鄉建國路三段142號,"23.523049,120.4397776",4.5,48
盧廣烤肉-文化店,ChIJoaMJlDKUbjQRdyiRxs8W6To,600台灣嘉義市東區林森西路176號,"23.484256,120.448426",3.3,276
讓雞添牙北興店,ChIJJ5Ng_SuVbjQRJscBWrCo9Lw,600台灣嘉義市西區北興街169號,"23.4842045,120.4410359",4.5,35
湯城鵝行｜概念廚房 - 成仁店,ChIJaaw1MsuVbjQRYU95jQP6cUo,600台灣嘉義市東區成仁街228號,"23.4829689,120.4512146",4.1,400
五鮮級鍋物專賣 嘉義民北店,ChIJ6eJMGNiVbjQRhO35KvOk6tE,600台灣嘉義市西區民生北路270號,"23.4810751,120.446147",4.2,1183
臻有福廚房,ChIJN_fboxeVbjQR0MH4Ao7tFJo,600台灣嘉義市西區民生北路251號,"23.4810142,120.4460106",4.5,28
月女涼麵,ChIJFxjRqSuUbjQRkUR5H1vEAOI,600台灣嘉義市西區民生北路255號,"23.4810833,120.4459439",4.6,201
小確幸炸飯糰,ChIJG9dIulmVbjQRx-PKEFgtD1Q,600台灣嘉義市東區忠孝路399號,"23.491899,120.4521707",4.7,142
星火咖啡 Star Mine,ChIJh4vHSNiVbjQRrhx2f1WSiDE,600台灣嘉義市西區忠義街169號,"23.4812602,120.4470677",4.6,55
